"ecce_schools_damaged","primary_schools_damaged","secondary_schools_damaged","ecce_students_affected","primary_students_affected","secondary_students_affected","Region"
269,223,82,4578,18526,9130,"National"
24,17,5,223,812,406,"Malampa"
4,3,1,34,126,47,"North West Malekula"
4,2,1,31,125,58,"North East Malekula"
3,2,0,41,140,78,"Central Malekula"
2,1,0,18,55,22,"South West Malekula"
3,2,0,30,117,68,"South East Malekula"
2,1,1,28,86,47,"South Malekula"
2,2,1,13,61,27,"North Ambrym"
1,2,1,12,49,34,"West Ambrym"
2,1,0,9,33,10,"South East Ambrym"
1,1,0,7,20,15,"Paama"
132,132,53,2955,12694,6767,"Shefa"
42,36,22,1637,6346,4253,"Port Vila"
1,4,1,29,326,145,"Vermali"
6,7,1,37,320,97,"Vermaul"
7,7,1,84,345,0,"Varisu"
4,6,1,49,223,98,"South Epi"
8,8,3,78,341,50,"North Tongoa"
1,3,1,18,64,0,"Tongariki"
3,6,1,22,158,87,"Makimae"
8,6,1,66,276,107,"Nguna"
4,3,1,38,166,0,"Emau"
3,6,1,47,277,185,"Malorua"
6,7,3,118,543,503,"North Efate"
11,6,4,198,748,160,"Mele"
3,1,1,42,104,10,"Tanvasoko"
1,1,1,0,85,54,"Ifira"
4,3,3,99,331,181,"Pango"
4,4,3,111,624,570,"Erakor"
13,14,3,234,1146,182,"Eratap"
3,4,1,48,271,85,"Eton"
113,74,24,1400,5020,1957,"Tafea"
4,2,1,53,102,74,"North Erromango"
3,4,1,32,146,56,"South Erromango"
2,1,1,14,56,0,"Aniwa"
13,9,3,149,502,116,"North Tanna"
22,14,6,288,1126,971,"West Tanna"
14,12,2,190,811,178,"Middle Bush Tanna"
9,5,1,158,624,200,"South West Tanna"
28,18,4,352,1050,158,"Whitesands"
9,5,2,92,381,82,"South Tanna"
3,1,1,11,65,56,"Futuna"
6,3,2,61,157,66,"Aneityum"
