"Region","ecce_tents","primary_tents","secondary_tents","total_tents","ecce_solar_lamps","primary_solar_lamps","secondary_solar_lamps","total_solar_lamps","ecce_water","primary_water","secondary_water","total_water","ecce_tin_fish","primary_tin_fish","secondary_tin_fish","total_tin_fish"
"National",269,223,82,574,2696,2238,864,5798,32060,129699,63914,225673,25636,103746,51123,180505
"Malampa",24,17,5,46,236,172,50,458,1561,5701,2844,10106,1244,4558,2275,8077
"North West Malekula",4,3,1,8,40,34,8,82,236,885,327,1448,188,708,262,1158
"North East Malekula",4,2,1,7,36,16,8,60,215,878,407,1500,171,702,325,1198
"Central Malekula",3,2,0,5,34,22,4,60,286,978,549,1813,228,782,439,1449
"South West Malekula",2,1,0,3,22,12,2,36,129,388,152,669,103,310,122,535
"South East Malekula",3,2,0,5,26,16,4,46,214,819,475,1508,171,655,380,1206
"South Malekula",2,1,1,4,20,14,6,40,193,606,332,1131,154,484,265,903
"North Ambrym",2,2,1,5,18,18,6,42,91,430,187,708,72,344,150,566
"West Ambrym",1,2,1,4,14,16,6,36,82,344,240,666,66,275,192,533
"South East Ambrym",2,1,0,3,16,12,2,30,66,230,69,365,52,184,55,291
"Paama",1,1,0,2,10,12,4,26,49,143,106,298,39,114,85,238
"Shefa",132,132,53,317,1330,1316,574,3220,20690,88862,47371,156923,16546,71081,37891,125518
"Port Vila",42,36,22,100,420,364,224,1008,11457,44419,29773,85649,9165,35535,23818,68518
"Vermali",1,4,1,6,14,42,14,70,206,2284,1015,3505,165,1827,811,2803
"Vermaul",6,7,1,14,56,70,14,140,260,2240,677,3177,208,1791,541,2540
"Varisu",7,7,1,15,70,70,14,154,588,2416,0,3004,470,1933,0,2403
"South Epi",4,6,1,11,42,56,14,112,343,1564,686,2593,274,1250,549,2073
"North Tongoa",8,8,3,19,84,84,28,196,549,2387,353,3289,439,1909,282,2630
"Tongariki",1,3,1,5,14,28,14,56,128,451,0,579,102,361,0,463
"Makimae",3,6,1,10,28,56,14,98,157,1103,608,1868,125,882,486,1493
"Nguna",8,6,1,15,84,56,14,154,466,1931,750,3147,372,1544,600,2516
"Emau",4,3,1,8,42,28,14,84,265,1162,0,1427,212,929,0,1141
"Malorua",3,6,1,10,28,56,14,98,329,1941,1294,3564,263,1552,1035,2850
"North Efate",6,7,3,16,56,70,28,154,824,3803,3519,8146,659,3042,2815,6516
"Mele",11,6,4,21,112,56,42,210,1387,5234,1123,7744,1109,4187,898,6194
"Tanvasoko",3,1,1,5,28,14,14,56,294,726,69,1089,235,580,55,870
"Ifira",1,1,1,3,14,14,14,42,0,598,378,976,0,478,302,780
"Pango",4,3,3,10,42,28,28,98,691,2318,1265,4274,553,1854,1011,3418
"Erakor",4,4,3,11,42,42,28,112,775,4366,3989,9130,619,3493,3191,7303
"Eratap",13,14,3,30,126,140,28,294,1637,8022,1274,10933,1309,6417,1019,8745
"Eton",3,4,1,8,28,42,14,84,334,1897,598,2829,267,1517,478,2262
"Tafea",113,74,24,211,1130,750,240,2120,9809,35136,13699,58644,7846,28107,10957,46910
"North Erromango",4,2,1,7,40,25,10,75,371,711,515,1597,297,568,412,1277
"South Erromango",3,4,1,8,30,45,10,85,224,1026,392,1642,179,820,314,1313
"Aniwa",2,1,1,4,20,10,10,40,102,392,0,494,81,314,0,395
"North Tanna",13,9,3,25,130,90,30,250,1043,3511,816,5370,834,2808,652,4294
"West Tanna",22,14,6,42,220,140,60,420,2016,7879,6797,16692,1613,6303,5438,13354
"Middle Bush Tanna",14,12,2,28,140,120,20,280,1327,5677,1243,8247,1061,4542,994,6597
"South West Tanna",9,5,1,15,90,50,10,150,1106,4365,1397,6868,885,3492,1117,5494
"Whitesands",28,18,4,50,280,180,40,500,2468,7354,1103,10925,1974,5883,882,8739
"South Tanna",9,5,2,16,90,50,20,160,648,2667,578,3893,518,2134,462,3114
"Futuna",3,1,1,5,30,10,10,50,77,455,396,928,62,364,316,742
"Aneityum",6,3,2,11,60,30,20,110,427,1099,462,1988,342,879,370,1591
