"num_households_affected","island_cabbage_cuttings","taro_seedlings","kumala_cuttings","manioc_cuttings","yam_cuttings","Region"
45289.6987223164,905795,1811587,4528969,2264485,679347,"National"
10353.2774827892,207064,414131,1035327,517663,155300,"Malampa"
1188.86767401795,23777,47555,118887,59443,17833,"North West Malekula"
1539.62290420528,30792,61585,153962,76981,23094,"North East Malekula"
1541.65738237234,30833,61666,154166,77083,23125,"Central Malekula"
935.199541294908,18704,37408,93520,46760,14028,"South West Malekula"
1153.86214879327,23077,46154,115386,57693,17308,"South East Malekula"
1202.44366657817,24049,48098,120244,60122,18037,"South Malekula"
1007.7042284521,20154,40308,100770,50385,15116,"North Ambrym"
385.450635837244,7709,15418,38545,19273,5782,"West Ambrym"
605.948867341972,12119,24238,60595,30297,9089,"South East Ambrym"
792.520433895933,15850,31701,79252,39626,11888,"Paama"
24030.8306358174,480619,961234,2403084,1201542,360462,"Shefa"
8958.28660829032,179166,358331,895829,447914,134374,"Port Vila"
620.505261352837,12410,24820,62051,31025,9308,"Vermali"
467.791975723459,9356,18712,46779,23390,7017,"Vermaul"
610.02408994337,12200,24401,61002,30501,9150,"Varisu"
470.290296930793,9406,18812,47029,23515,7054,"South Epi"
327.891570980372,6558,13116,32789,16395,4918,"North Tongoa"
237.737908455605,4755,9510,23774,11887,3566,"Tongariki"
232.625876024746,4653,9305,23263,11631,3489,"Makimae"
468.181911066327,9364,18727,46818,23409,7023,"Nguna"
197.239389926415,3945,7890,19724,9862,2959,"Emau"
1023.64421567205,20473,40946,102364,51182,15355,"Malorua"
872.350722672883,17447,34894,87235,43618,13085,"North Efate"
887.60272195239,17752,35504,88760,44380,13314,"Mele"
1904.00050406432,38080,76160,190400,95200,28560,"Tanvasoko"
245.525974562536,4911,9821,24553,12276,3683,"Ifira"
486.365911492837,9727,19455,48637,24318,7295,"Pango"
3298.47690356345,65970,131939,329848,164924,49477,"Erakor"
1825.63717105486,36513,73025,182564,91282,27385,"Eratap"
896.651622087837,17933,35866,89665,44833,13450,"Eton"
10905.5906037098,218112,436222,1090558,545280,163585,"Tafea"
374.158737182642,7483,14966,37416,18708,5612,"North Erromango"
151.382492979637,3028,6055,15138,7569,2271,"South Erromango"
140.043923990882,2801,5602,14004,7002,2101,"Aniwa"
1021.95989506718,20439,40878,102196,51098,15329,"North Tanna"
3601.9013798503,72038,144076,360190,180095,54029,"West Tanna"
1581.98340313245,31640,63279,158198,79099,23730,"Middle Bush Tanna"
1424.05385466799,28481,56962,142405,71203,21361,"South West Tanna"
1782.97527561199,35660,71319,178298,89149,26745,"Whitesands"
403.851005201499,8077,16154,40385,20193,6058,"South Tanna"
87.3229637301334,1746,3493,8732,4366,1310,"Futuna"
335.957672295088,6719,13438,33596,16798,5039,"Aneityum"
