"Region","private_households_damaged","roof_concrete_damaged","roof_metal_damaged","roof_wood_damaged","wall_concrete_damaged","wall_metal_damaged","wall_wood_damaged"
"National",23176,726,16551,502,9261,7680,1353
"Torba",0,0,0,0,0,0,0
"Torres",0,0,0,0,0,0,0
"Ureparapara",0,0,0,0,0,0,0
"Motalava",0,0,0,0,0,0,0
"West Vanualava",0,0,0,0,0,0,0
"East Vanualava",0,0,0,0,0,0,0
"Mota",0,0,0,0,0,0,0
"East Gaua",0,0,0,0,0,0,0
"West Gaua",0,0,0,0,0,0,0
"Merelava",0,0,0,0,0,0,0
"Sanma",0,0,0,0,0,0,0
"Luganville",0,0,0,0,0,0,0
"North West Santo",0,0,0,0,0,0,0
"Big Bay Coast",0,0,0,0,0,0,0
"Big Bay Inland",0,0,0,0,0,0,0
"West Santo",0,0,0,0,0,0,0
"South Santo 1",0,0,0,0,0,0,0
"South Santo 2",0,0,0,0,0,0,0
"East Santo",0,0,0,0,0,0,0
"South East Santo",0,0,0,0,0,0,0
"West Malo",0,0,0,0,0,0,0
"East Malo",0,0,0,0,0,0,0
"Penama",0,0,0,0,0,0,0
"West Ambae",0,0,0,0,0,0,0
"North Ambae",0,0,0,0,0,0,0
"East Ambae",0,0,0,0,0,0,0
"South Ambae",0,0,0,0,0,0,0
"North Maewo",0,0,0,0,0,0,0
"South Maewo",0,0,0,0,0,0,0
"North Pentecost",0,0,0,0,0,0,0
"Central Pentecost 1",0,0,0,0,0,0,0
"Central Pentecost 2",0,0,0,0,0,0,0
"South Pentecost",0,0,0,0,0,0,0
"Malampa",1028,24,296,3,279,75,38
"North West Malekula",118,2,18,0,19,2,4
"North East Malekula",153,7,36,2,50,7,3
"Central Malekula",153,6,50,0,54,6,10
"South West Malekula",93,2,34,0,22,5,7
"South East Malekula",115,1,17,0,20,7,6
"South Malekula",120,1,37,0,39,10,2
"North Ambrym",100,0,36,0,28,5,1
"West Ambrym",38,1,9,1,14,6,2
"South East Ambrym",60,3,15,0,15,3,3
"Paama",78,1,44,0,18,24,0
"Shefa",16724,506,14342,243,7939,6548,917
"Port Vila",6222,266,5682,122,3475,2044,286
"Vermali",432,6,245,77,182,110,29
"Vermaul",327,5,194,4,98,116,76
"Varisu",425,16,174,0,125,51,73
"South Epi",327,0,224,1,58,158,47
"North Tongoa",227,0,184,0,71,127,11
"Tongariki",164,1,142,0,61,94,2
"Makimae",162,1,136,0,57,76,21
"Nguna",328,13,283,0,180,116,10
"Emau",138,3,124,1,77,58,1
"Malorua",706,14,622,3,314,303,27
"North Efate",605,11,546,0,307,263,24
"Mele",621,15,557,13,379,191,17
"Tanvasoko",1330,37,1236,7,619,563,36
"Ifira",171,29,138,3,78,49,25
"Pango",334,10,299,0,189,125,10
"Erakor",2303,41,2074,4,952,1141,117
"Eratap",1275,31,1043,3,542,613,52
"Eton",627,7,439,5,175,350,53
"Tafea",5424,196,1913,256,1043,1057,398
"North Erromango",184,3,102,3,26,41,64
"South Erromango",75,0,24,2,5,7,37
"Aniwa",69,2,39,1,14,43,2
"North Tanna",511,8,199,16,43,87,14
"West Tanna",1783,99,753,113,548,369,52
"Middle Bush Tanna",790,18,272,61,142,147,18
"South West Tanna",711,42,171,46,122,70,89
"Whitesands",890,17,138,12,87,182,57
"South Tanna",202,4,99,1,44,52,29
"Futuna",43,1,27,0,2,17,7
"Aneityum",166,2,89,1,10,42,29
"Canal Fanafo",0,0,0,0,0,0,0
