"Region","towers_digicel","towers_vodafone"
"National",129,246
"Torba",4,8
"Torres",0,1
"Motalava",1,2
"West Vanualava",1,1
"East Vanualava",1,2
"East Gaua",1,2
"Sanma",22,49
"Luganville",6,13
"North West Santo",0,2
"Big Bay Coast",1,2
"Big Bay Inland",0,1
"West Santo",1,2
"South Santo 1",3,0
"South Santo 2",0,5
"East Santo",5,8
"South East Santo",3,8
"Canal Fanafo",1,4
"West Malo",1,2
"East Malo",1,2
"Penama",13,30
"West Ambae",2,4
"North Ambae",2,3
"East Ambae",0,2
"South Ambae",0,1
"North Maewo",2,3
"North Pentecost",2,3
"Central Pentecost 1",3,0
"Central Pentecost 2",0,6
"South Pentecost",2,8
"Malampa",22,34
"North West Malekula",4,4
"North East Malekula",3,7
"Central Malekula",3,6
"South West Malekula",2,4
"South East Malekula",3,3
"South Malekula",2,3
"North Ambrym",2,2
"West Ambrym",1,2
"South East Ambrym",1,1
"Paama",1,2
"Shefa",53,94
"Port Vila",20,39
"Vermali",1,2
"Vermaul",2,3
"Varisu",2,1
"South Epi",0,1
"Tongariki",1,2
"Makimae",1,2
"Nguna",1,1
"Malorua",6,12
"North Efate",3,4
"Mele",1,3
"Tanvasoko",3,5
"Ifira",0,1
"Pango",1,2
"Erakor",4,6
"Eratap",3,5
"Eton",4,5
"Tafea",15,31
"North Erromango",1,2
"South Erromango",1,2
"North Tanna",1,2
"West Tanna",5,10
"Middle Bush Tanna",0,1
"South West Tanna",2,3
"Whitesands",3,6
"South Tanna",1,2
"Futuna",0,1
"Aneityum",1,2
