"Region","water_piped_damaged","water_well_damaged","water_tank_damaged","toilet_pit_latrine_damaged","toilet_vip_damaged","toilet_flush_damaged","toilet_water_sealed_damaged"
"National",13297,1174,7129,6952,3290,8168,3119
"Torba",0,0,0,0,0,0,0
"Torres",0,0,0,0,0,0,0
"Ureparapara",0,0,0,0,0,0,0
"Motalava",0,0,0,0,0,0,0
"West Vanualava",0,0,0,0,0,0,0
"East Vanualava",0,0,0,0,0,0,0
"Mota",0,0,0,0,0,0,0
"East Gaua",0,0,0,0,0,0,0
"West Gaua",0,0,0,0,0,0,0
"Merelava",0,0,0,0,0,0,0
"Sanma",0,0,0,0,0,0,0
"Luganville",0,0,0,0,0,0,0
"North West Santo",0,0,0,0,0,0,0
"Big Bay Coast",0,0,0,0,0,0,0
"Big Bay Inland",0,0,0,0,0,0,0
"West Santo",0,0,0,0,0,0,0
"South Santo 1",0,0,0,0,0,0,0
"South Santo 2",0,0,0,0,0,0,0
"East Santo",0,0,0,0,0,0,0
"South East Santo",0,0,0,0,0,0,0
"West Malo",0,0,0,0,0,0,0
"East Malo",0,0,0,0,0,0,0
"Penama",0,0,0,0,0,0,0
"West Ambae",0,0,0,0,0,0,0
"North Ambae",0,0,0,0,0,0,0
"East Ambae",0,0,0,0,0,0,0
"South Ambae",0,0,0,0,0,0,0
"North Maewo",0,0,0,0,0,0,0
"South Maewo",0,0,0,0,0,0,0
"North Pentecost",0,0,0,0,0,0,0
"Central Pentecost 1",0,0,0,0,0,0,0
"Central Pentecost 2",0,0,0,0,0,0,0
"South Pentecost",0,0,0,0,0,0,0
"Malampa",471,184,319,454,260,74,185
"North West Malekula",87,3,14,73,19,3,10
"North East Malekula",46,49,53,43,14,20,70
"Central Malekula",100,10,29,44,29,24,49
"South West Malekula",48,7,32,71,11,4,6
"South East Malekula",90,6,10,86,11,3,5
"South Malekula",40,6,69,55,8,7,40
"North Ambrym",13,47,40,36,61,1,2
"West Ambrym",4,23,11,4,31,2,1
"South East Ambrym",38,11,12,2,40,10,1
"Paama",5,22,49,40,36,0,1
"Shefa",9458,830,5649,3292,1604,7909,2899
"Port Vila",5476,27,474,305,142,4981,743
"Vermali",125,104,203,266,85,18,18
"Vermaul",154,59,114,74,185,7,8
"Varisu",164,5,186,353,18,1,8
"South Epi",108,23,193,266,31,2,2
"North Tongoa",35,25,166,104,102,3,3
"Tongariki",9,27,127,62,83,0,4
"Makimae",2,29,131,46,79,1,32
"Nguna",21,43,259,54,132,6,135
"Emau",0,30,108,96,9,15,18
"Malorua",259,27,337,118,54,196,263
"North Efate",70,40,488,107,24,152,310
"Mele",122,11,468,19,8,297,261
"Tanvasoko",938,177,183,174,82,678,223
"Ifira",155,0,16,5,15,134,15
"Pango",246,6,78,1,10,197,112
"Erakor",1221,48,910,565,359,864,403
"Eratap",201,125,860,372,122,302,174
"Eton",152,24,348,305,64,55,167
"Tafea",3368,160,1161,3206,1426,185,35
"North Erromango",101,0,78,46,43,6,4
"South Erromango",21,0,39,4,0,1,0
"Aniwa",0,1,67,13,56,0,1
"North Tanna",198,1,116,367,48,2,7
"West Tanna",1112,57,517,1050,462,141,15
"Middle Bush Tanna",218,23,289,402,269,10,3
"South West Tanna",607,48,14,460,180,7,1
"Whitesands",798,23,19,657,213,9,2
"South Tanna",175,4,6,69,111,6,1
"Futuna",42,0,0,2,35,2,0
"Aneityum",96,3,16,136,9,1,1
"Canal Fanafo",0,0,0,0,0,0,0
